,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
353,353,1/27/2022,2022-B71 ,H21,0.4,0.4,0.5656854249492381
354,354,1/27/2022,2022-B71 ,G96,0.1,0.1,0.1414213562373095
355,355,1/27/2022,2022-B71 ,L01,0.0,0.4,0.4
356,356,1/27/2022,2022-B71 ,I52,0.1,0.5,0.5099019513592785
357,357,1/27/2022,2022-B71 ,G96,0.1,0.1,0.1414213562373095
358,358,1/27/2022,2022-B71 ,L01,0.4,0.2,0.447213595499958
359,359,1/27/2022,2022-B71 ,I52,0.6,0.5,0.7810249675906654
360,360,1/27/2022,2022-B71 ,I52,0.0,0.1,0.1
362,362,1/27/2022,2022-B71 ,I52,0.5,0.0,0.5
363,363,1/27/2022,2022-B71 ,I52,0.1,0.0,0.1
364,364,1/27/2022,2022-B71 ,L01,0.2,0.1,0.223606797749979
365,365,1/27/2022,2022-B71 ,654,0.2,0.1,0.223606797749979
366,366,1/27/2022,2022-B71 ,I52,0.1,0.0,0.1
368,368,1/27/2022,2022-B71 ,654,0.0,0.1,0.1
369,369,1/27/2022,2022-B71 ,I52,0.2,0.0,0.2
370,370,1/27/2022,2022-B71 ,H21,0.4,0.2,0.447213595499958
371,371,1/27/2022,2022-B71 ,654,0.1,0.0,0.1
373,373,1/29/2022,2022-B120,204,0.2,0.4,0.447213595499958
374,374,1/29/2022,2022-B120,I52,0.1,0.3,0.3162277660168379
376,376,1/29/2022,2022-B120,204,0.6,0.2,0.6324555320336759
377,377,1/29/2022,2022-B120,654,0.1,0.1,0.1414213562373095
379,379,1/29/2022,2022-B120,H36,0.8,0.5,0.9433981132056604
380,380,1/29/2022,2022-B120,I52,0.1,0.2,0.223606797749979
382,382,1/29/2022,2022-B120,H36,1.2,0.4,1.2649110640673518
383,383,1/29/2022,2022-B120,J95,0.2,0.2,0.282842712474619
385,385,1/29/2022,2022-B120,H21,0.1,0.2,0.223606797749979
386,386,1/29/2022,2022-B120,J95,0.0,0.5,0.5
388,388,1/29/2022,2022-B120,H21,0.1,0.0,0.1
389,389,1/29/2022,2022-B120,C95,0.7,0.3,0.7615773105863908
390,390,1/29/2022,2022-B120,L01,0.1,0.3,0.3162277660168379
391,391,1/29/2022,2022-B120,H36,0.8,0.0,0.8
392,392,1/29/2022,2022-B120,J95,0.4,0.2,0.447213595499958
393,393,1/29/2022,2022-B120,L01,1.0,0.1,1.004987562112089
394,394,1/29/2022,2022-B120,H21,0.3,0.1,0.3162277660168379
395,395,1/29/2022,2022-B120,J95,0.3,0.3,0.4242640687119285
396,396,1/29/2022,2022-B120,L01,1.1,0.7,1.3038404810405295
397,397,1/29/2022,2022-B120,654,0.1,0.2,0.223606797749979
398,398,1/29/2022,2022-B120,C95,0.3,0.3,0.4242640687119285
399,399,1/29/2022,2022-B120,L01,0.3,0.2,0.3605551275463989
400,400,1/29/2022,2022-B120,654,0.0,0.1,0.1
401,401,2/2/2022,2022-C20 ,G96,0.2,0.5,0.5385164807134505
403,403,2/2/2022,2022-C20 ,204,0.1,0.1,0.1414213562373095
404,404,2/2/2022,2022-C20 ,G96,0.2,0.1,0.223606797749979
405,405,2/2/2022,2022-C20 ,L01,0.3,0.1,0.3162277660168379
407,407,2/2/2022,2022-C20 ,G96,0.1,0.1,0.1414213562373095
408,408,2/2/2022,2022-C20 ,L01,0.0,0.1,0.1
409,409,2/2/2022,2022-C20 ,204,0.2,0.1,0.223606797749979
410,410,2/2/2022,2022-C20 ,G96,0.9,2.0,2.193171219946131
411,411,2/2/2022,2022-C20 ,L01,0.4,0.1,0.4123105625617661
412,412,2/2/2022,2022-C20 ,C95,0.5,0.5,0.7071067811865476
413,413,2/2/2022,2022-C20 ,I52,0.1,0.0,0.1
414,414,2/2/2022,2022-C20 ,L01,0.3,0.2,0.3605551275463989
415,415,2/2/2022,2022-C20 ,C95,0.3,0.1,0.3162277660168379
416,416,2/2/2022,2022-C20 ,I52,0.0,0.1,0.1
419,419,2/2/2022,2022-C20 ,I52,0.1,0.0,0.1
420,420,2/2/2022,2022-C20 ,L01,0.3,0.3,0.4242640687119285
422,422,2/2/2022,2022-C20 ,I52,0.0,0.0,0.0
423,423,2/2/2022,2022-C20 ,958,0.3,0.4,0.5
426,426,2/2/2022,2022-C20 ,958,0.5,0.1,0.5099019513592785
427,427,2/2/2022,2022-C20 ,654,0.1,0.1,0.1414213562373095
429,429,2/2/2022,2022-C20 ,958,0.5,0.0,0.5
430,430,2/2/2022,2022-C20 ,654,0.2,0.0,0.2
433,433,2/2/2022,2022-C20 ,654,0.1,0.1,0.1414213562373095
435,435,2/2/2022,2022-C27 ,F52,0.2,0.2,0.282842712474619
436,436,2/2/2022,2022-C27 ,654,0.2,0.1,0.223606797749979
438,438,2/2/2022,2022-C27 ,F52,0.0,0.1,0.1
439,439,2/2/2022,2022-C27 ,654,0.1,0.1,0.1414213562373095
442,442,2/2/2022,2022-C27 ,654,0.0,0.1,0.1
446,446,2/2/2022,2022-C27 ,F52,0.0,0.0,0.0
449,449,2/2/2022,2022-C27 ,F52,0.1,0.0,0.1
452,452,2/2/2022,2022-C29 ,F52,0.3,0.3,0.4242640687119285
453,453,2/2/2022,2022-C29 ,L01,0.0,0.1,0.1
454,454,2/2/2022,2022-C29 ,654,0.0,0.1,0.1
455,455,2/2/2022,2022-C29 ,F52,0.2,0.1,0.223606797749979
456,456,2/2/2022,2022-C29 ,104,0.1,0.0,0.1
457,457,2/2/2022,2022-C29 ,654,0.2,0.1,0.223606797749979
458,458,2/2/2022,2022-C29 ,F52,0.3,0.3,0.4242640687119285
459,459,2/2/2022,2022-C29 ,104,0.5,0.1,0.5099019513592785
461,461,2/2/2022,2022-C29 ,F52,0.2,0.0,0.2
462,462,2/2/2022,2022-C29 ,104,0.7,0.0,0.7
464,464,2/2/2022,2022-C29 ,L01,0.5,0.3,0.58309518948453
465,465,2/2/2022,2022-C29 ,I93,0.2,0.3,0.3605551275463989
467,467,2/2/2022,2022-C29 ,L01,0.4,0.7,0.8062257748298549
468,468,2/2/2022,2022-C29 ,I93,0.3,0.0,0.3
470,470,2/2/2022,2022-C29 ,L01,0.1,0.1,0.1414213562373095
471,471,2/2/2022,2022-C29 ,I93,0.4,0.2,0.447213595499958
472,472,2/2/2022,2022-C29 ,L01,0.2,0.6,0.6324555320336759
473,473,2/2/2022,2022-C29 ,654,0.2,0.1,0.223606797749979
474,474,2/4/2022,2022-C61 ,T08,0.1,0.4,0.4123105625617661
476,476,2/4/2022,2022-C61 ,I52,0.0,0.2,0.2
477,477,2/4/2022,2022-C61 ,T08,0.0,0.4,0.4
478,478,2/4/2022,2022-C61 ,958,0.3,0.8,0.8544003745317532
479,479,2/4/2022,2022-C61 ,703,0.4,1.7,1.746424919657298
480,480,2/4/2022,2022-C61 ,T08,0.3,0.2,0.3605551275463989
482,482,2/4/2022,2022-C61 ,703,0.3,0.5,0.58309518948453
483,483,2/4/2022,2022-C61 ,T08,0.3,0.4,0.5
484,484,2/4/2022,2022-C61 ,958,0.7,0.2,0.7280109889280517
485,485,2/4/2022,2022-C61 ,703,0.4,0.0,0.4
486,486,2/4/2022,2022-C61 ,T05,0.1,0.4,0.4123105625617661
487,487,2/4/2022,2022-C61 ,204,0.1,0.1,0.1414213562373095
489,489,2/4/2022,2022-C61 ,T05,0.5,0.4,0.6403124237432849
490,490,2/4/2022,2022-C61 ,204,0.1,0.0,0.1
492,492,2/4/2022,2022-C61 ,T05,0.1,0.2,0.223606797749979
493,493,2/4/2022,2022-C61 ,204,0.1,0.2,0.223606797749979
494,494,2/4/2022,2022-C61 ,654,0.0,0.0,0.0
495,495,2/4/2022,2022-C61 ,T05,0.4,0.6,0.7211102550927979
502,502,2/4/2022,2022-C61 ,I52,0.1,0.0,0.1
506,506,2/4/2022,2022-C61 ,654,0.0,0.0,0.0
508,508,2/4/2022,2022-C61 ,I52,0.3,0.1,0.3162277660168379
510,510,2/4/2022,2022-C61 ,958,1.0,1.2,1.5620499351813308
511,511,2/4/2022,2022-C61 ,I52,0.2,0.4,0.447213595499958
512,512,2/4/2022,2022-C61 ,654,0.0,0.1,0.1
513,513,2/4/2022,2022-C62 ,703,1.0,0.6,1.16619037896906
514,514,2/4/2022,2022-C62 ,958,0.2,0.0,0.2
516,516,2/4/2022,2022-C62 ,703,1.5,0.4,1.5524174696260025
517,517,2/4/2022,2022-C62 ,204,0.0,0.3,0.3
519,519,2/4/2022,2022-C62 ,703,0.4,0.3,0.5
520,520,2/4/2022,2022-C62 ,204,0.0,0.0,0.0
521,521,2/4/2022,2022-C62 ,654,0.0,0.1,0.1
522,522,2/4/2022,2022-C62 ,703,0.3,0.3,0.4242640687119285
523,523,2/4/2022,2022-C62 ,204,0.1,0.1,0.1414213562373095
524,524,2/4/2022,2022-C62 ,654,0.0,0.1,0.1
525,525,2/4/2022,2022-C62 ,F52,0.0,0.0,0.0
526,526,2/4/2022,2022-C62 ,I52,0.0,0.2,0.2
527,527,2/4/2022,2022-C62 ,654,0.0,0.1,0.1
528,528,2/4/2022,2022-C62 ,I52,0.0,0.3,0.3
529,529,2/4/2022,2022-C62 ,I52,0.4,0.2,0.447213595499958
531,531,2/4/2022,2022-C62 ,I52,0.2,0.3,0.3605551275463989
532,532,2/4/2022,2022-C62 ,I52,0.3,0.1,0.3162277660168379
534,534,2/4/2022,2022-C62 ,I52,0.1,0.3,0.3162277660168379
535,535,2/4/2022,2022-C62 ,I52,0.1,0.3,0.3162277660168379
537,537,2/4/2022,2022-C62 ,I52,0.1,0.4,0.4123105625617661
540,540,2/4/2022,2022-C62 ,F52,0.0,0.1,0.1
543,543,2/4/2022,2022-C62 ,958,0.1,0.1,0.1414213562373095
545,545,2/4/2022,2022-C62 ,958,0.2,0.1,0.223606797749979
547,547,2/4/2022,2022-C63 ,G96,0.2,0.0,0.2
548,548,2/4/2022,2022-C63 ,I52,0.4,0.5,0.6403124237432849
550,550,2/4/2022,2022-C63 ,G96,0.0,0.1,0.1
551,551,2/4/2022,2022-C63 ,I52,0.4,0.0,0.4
553,553,2/4/2022,2022-C63 ,G96,0.1,0.1,0.1414213562373095
554,554,2/4/2022,2022-C63 ,I52,0.2,0.0,0.2
555,555,2/4/2022,2022-C63 ,I52,0.1,0.8,0.806225774829855
