,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
10572,10572,6/21/2022,2022-M29 ,654,0.0,0.2,0.02
10594,10594,6/21/2022,2022-M30 ,654,0.0,0.1,0.005
10597,10597,6/21/2022,2022-M30 ,654,0.1,0.1,0.01
10600,10600,6/21/2022,2022-M30 ,654,0.1,0.1,0.01
10637,10637,6/21/2022,2022-M31 ,654,0.4,0.2,0.1
10640,10640,6/21/2022,2022-M31 ,654,0.5,0.2,0.145
10643,10643,6/21/2022,2022-M31 ,654,0.4,0.2,0.1
10646,10646,6/21/2022,2022-M31 ,654,0.5,0.2,0.145
10649,10649,6/21/2022,2022-M31 ,654,0.1,0.1,0.01
10709,10709,6/23/2022,2022-M38 ,654,0.1,0.1,0.01
10712,10712,6/23/2022,2022-M38 ,654,0.0,0.2,0.02
10715,10715,6/23/2022,2022-M38 ,654,0.0,0.1,0.005
10718,10718,6/23/2022,2022-M38 ,654,0.1,0.1,0.01
10787,10787,6/23/2022,2022-M39 ,654,0.1,0.0,0.005
10790,10790,6/23/2022,2022-M39 ,654,0.1,0.1,0.01
10807,10807,6/24/2022,2022-M60 ,654,0.1,0.0,0.005
10810,10810,6/24/2022,2022-M60 ,654,0.0,0.2,0.02
10813,10813,6/24/2022,2022-M60 ,654,0.2,0.1,0.025
10816,10816,6/24/2022,2022-M60 ,654,0.2,0.1,0.025
10819,10819,6/24/2022,2022-M60 ,654,0.1,0.0,0.005
10822,10822,6/24/2022,2022-M60 ,654,0.2,0.0,0.02
10840,10840,6/25/2022,2022-M69 ,654,0.0,0.0,0.0
10843,10843,6/25/2022,2022-M69 ,654,0.0,0.0,0.0
10846,10846,6/25/2022,2022-M69 ,654,0.1,0.1,0.01
10851,10851,6/26/2022,2022-M75 ,654,0.0,0.0,0.0
10854,10854,6/26/2022,2022-M75 ,654,0.0,0.0,0.0
10857,10857,6/26/2022,2022-M75 ,654,0.1,0.1,0.01
10867,10867,6/26/2022,2022-M75 ,654,0.1,0.0,0.005
