Date,Bulletin,Obs Code,Residual RA,Residual Dec
2/2/2022,2022-C20 ,I52,0.0,0.1
2/2/2022,2022-C20 ,K83,0.4,0.2
2/2/2022,2022-C20 ,U52,0.0,0.6
2/2/2022,2022-C20 ,I52,0.1,0.0
2/2/2022,2022-C20 ,L01,0.3,0.3
2/2/2022,2022-C20 ,U52,0.1,0.0
2/2/2022,2022-C20 ,I52,0.0,0.0
2/2/2022,2022-C20 ,958,0.3,0.4
2/2/2022,2022-C20 ,U52,0.1,0.9
2/2/2022,2022-C20 ,U52,0.1,0.1
2/2/2022,2022-C20 ,958,0.5,0.1
2/2/2022,2022-C20 ,654,0.1,0.1
2/2/2022,2022-C20 ,U52,0.3,0.2
2/2/2022,2022-C20 ,958,0.5,0.0
2/2/2022,2022-C20 ,654,0.2,0.0
2/2/2022,2022-C20 ,U52,0.2,0.6
2/2/2022,2022-C20 ,203,0.2,0.1
2/2/2022,2022-C20 ,654,0.1,0.1
2/2/2022,2022-C27 ,U68,0.0,0.4
2/2/2022,2022-C27 ,F52,0.2,0.2
2/2/2022,2022-C27 ,654,0.2,0.1
2/2/2022,2022-C27 ,U68,0.0,0.4
2/2/2022,2022-C27 ,F52,0.0,0.1
2/2/2022,2022-C27 ,654,0.1,0.1
2/2/2022,2022-C27 ,U68,0.0,0.0
2/2/2022,2022-C27 ,U68,0.7,0.2
2/2/2022,2022-C27 ,654,0.0,0.1
2/2/2022,2022-C27 ,U68,0.1,0.3
2/2/2022,2022-C27 ,U68,0.3,0.2
2/2/2022,2022-C27 ,033,0.2,0.3
2/2/2022,2022-C27 ,F52,0.0,0.0
2/2/2022,2022-C27 ,U68,0.5,1.0
2/2/2022,2022-C27 ,033,0.4,0.1
2/2/2022,2022-C27 ,F52,0.1,0.0
2/2/2022,2022-C27 ,U68,0.7,0.4
2/2/2022,2022-C27 ,033,0.1,0.0
2/2/2022,2022-C29 ,F52,0.3,0.3
2/2/2022,2022-C29 ,L01,0.0,0.1
2/2/2022,2022-C29 ,654,0.0,0.1
2/2/2022,2022-C29 ,F52,0.2,0.1
2/2/2022,2022-C29 ,104,0.1,0.0
2/2/2022,2022-C29 ,654,0.2,0.1
2/2/2022,2022-C29 ,F52,0.3,0.3
2/2/2022,2022-C29 ,104,0.5,0.1
2/2/2022,2022-C29 ,033,0.2,0.1
2/2/2022,2022-C29 ,F52,0.2,0.0
2/2/2022,2022-C29 ,104,0.7,0.0
2/2/2022,2022-C29 ,033,0.0,0.1
2/2/2022,2022-C29 ,L01,0.5,0.3
2/2/2022,2022-C29 ,I93,0.2,0.3
2/2/2022,2022-C29 ,033,0.1,0.3
2/2/2022,2022-C29 ,L01,0.4,0.7
